addresses;emerald_balance;eth_balance;erc20_input_tx_count;erc20_output_tx_count;erc20_amount_in;erc20_amount_out;erc20_balance;transfer_input_tx_count;transfer_output_tx_count;transfer_output_balance;swap_ledger_emerald_bought;swap_ledger_emerald_sold;swap_ledger_ether_gained;swap_ledger_ether_spent;swap_ledger_emerald_received;swap_ledger_eth_received;swap_ledger_received_from;swap_ledger_tx_list;os_eth_spent;os_eth_gained;os_emeralds_bought;os_emeralds_sold;ox_txs;is_contract
0x0a3B65ffc42237179c5AFAE1392882aa67A56Cdc;10.0;-0.5811;1;0;10.0;0.0;10.0;10;0;10;10.0;0.0;0.0;0.5811;0.0;0.0;0xf4afb96965fffaec8f22525d1d23cafcce5c05d6d0be9038ed7efa43474b5a5f;;0.0;0.0;0;0;;False
0x39542e41E10133af952f82b78C0C2971906Dc8E7;0.0;-0.101;2;1;2.61;2.61;0.0;2;2;0;2.612;2.61;0.199;0.3;0.0;0.0;0x87a5d16306a54466ccd886ec42244ff019bab988d92575e9c8e1a8d95d13068e, 0x7c3267ab22fd1f2be99e070f312effe43941b816a74d1a38800f642edf975cd6, 0x2e974fa7587d5514c31a4db648e92c4f2800792ee21eb2c5b8e0cef89b96e465;;0.0;0.0;0;0;;False
0xB4bFd9eFA6301F1C8CC66110966112A11097C06c;0.09;-0.01;1;0;0.09;0.0;0.09;0;0;0;0.09475;0.0;0.0;0.01;0.0;0.0;0xd940360a81949053e4f0aa1b785152cfec75f67c131de58d0db1aa97c632b603;;0.0;0.0;0;0;;False
0x711281C1b26AaEd86E40e4cAaf76c1962B45E161;15.0;-0.1063;3;2;27.0;12.0;15.0;5;0;5;25.0;12.0;0.7188;0.8251;0.0;0.0;0x68b292140079849cc4dcbb1d483b1a3b661b673b182347016de44c3e34719baa, 0x5f64899a57828f92b06f8e39dc876a540530a8c0bd1045d550928c7e8eab7051, 0x2dcaf7b2d5a6355a39e5582c59f915fe7c595b4235a45040111d12622aeafd42, 0x20c08c64bb6355cc8154ea0fa472f62ed90f05f8a42e029e6618ed4d807f1ef6;;0.0;0.0;0;0;;False
0x1F955D56bfdc4Eb4e97A865173065DD1F9Fd29aA;73.0;-4.789;5;0;73.0;0.0;73.0;73;0;73;73.0;0.0;0.0;4.789;0.0;0.0;0xe05544d8ea8d3005561fd27362c34f01e3b7d8a56c8379819edea6102e9ed407, 0x05363ca67f0cb0532272734667c37e8745e9198af00356af29ec06724c3c1eca, 0xe842b99126f58627ee24099a208c4243b2737e3a655a082a35e2a36998e7cf4a, 0x544b7702e6b8e0a592f54e26f56f9c6b3a56b44d1f898c01a0405f0841ab72b3, 0x4a983d224586d5ba40ddec10b2461b1a53d0cbfe0330c300d2137475d18971d4;;0.0;0.0;0;0;;False
0x6C2973ba38fD8FaB5316942481DFa4Fc84647dD9;0.0;0.0031;1;1;2.0;2.0;0.0;0;0;0;2.0;2.0;0.1343;0.1312;0.0;0.0;0x79cd3909a84c7d82ffe0a4d62e41f4eaf22b9360b2e1a5e83b4a51604c84866c, 0xda085ff27584cfbcae32e228050764cf23316fde6e4e2b276cb6b50d53c362aa;;0.0;0.0;0;0;;False
0x735Ec57eae676c8512Be925b071cDf003B7EF42c;0.0;22.9;4;6;590.0;590.0;0.0;90;90;0;590.0;590.0;36.22;13.32;0.0;0.0;0x4677f5dcc6fb31a4668d1d16a29d58e1aed27a07654ec7ae6eb437dbbcaa8bba, 0xdb1eae9dddfa4f64536f6c04ee862d7259e2f764ae1b2911d5386cc1fc6d4738, 0xceda5487cf3a7facafba11a2ecfbeb31a4864d44b434cc75dc476693dfb62576, 0x79f3dfed49b54471391b223222edb363751efb5542fd3f84caac4c398bc2588b, 0x5de79decdafad31c403e47e4965985131e7d800ac257cf20662770848f4683b4, 0xe4b91f5be49427e01defaf1aefc4497f5814d93261ca2ebe3672478d5a4e9c1b, 0xce47498520eee5178c2e489c29894695431354219e972dd4d0b4c208210c3b0b, 0x5a56c2a0517e093ffff49311961683017b1034eec2015d7709444631ff8a4b69, 0x7d4c084c69d4d3cedbe6d979824e7588d50b0855a03942db15fe0f93a861b151, 0x1fc1558459a2df024227fa433d688c83c181956790dcd88107bde95e8932e195;;0.0;0.0;0;0;;False
0xf1A51B0c10A46aD8308f690947801691eAe15fc2;1.0;-0.1002;1;0;1.0;0.0;1.0;1;0;1;1.0;0.0;0.0;0.1002;0.0;0.0;0x7692c904dd6fa3513619d49d5a627b49047b4f7ef4bf00cba9cd1baa14c71f34;;0.0;0.0;0;0;;False
0xcA0803EcB33CB44f10ccF43471226b03b44c35c3;0.0;0.378;1;1;35.84;35.84;0.0;35;35;0;35.84;35.84;2.378;2.0;0.0;0.0;0xf8240b50b132eb0a8058c1086b699dcf742ca64c6855e49ebef9c01fa67d7102, 0xb1f33bde08b758f2eb319358e731402fbd522c8d1ef595aa9201e6d335706a7e;;0.0;0.0;0;0;;False
0x4db22C07b7DF5298531823E669850d22A1dF3077;1.05;-0.1;1;0;1.05;0.0;1.05;1;0;1;1.05;0.0;0.0;0.1;0.0;0.0;0x63494b947d89b50a718790ca80e877cc1ef8d73e346e7e58ae1aaa8f1dfcf1d8;;0.0;0.0;0;0;;False
