addresses;emerald_balance;eth_balance;erc20_input_tx_count;erc20_output_tx_count;erc20_amount_in;erc20_amount_out;erc20_balance;transfer_input_tx_count;transfer_output_tx_count;transfer_output_balance;swap_ledger_emerald_bought;swap_ledger_emerald_sold;swap_ledger_ether_gained;swap_ledger_ether_spent;swap_ledger_emerald_received;swap_ledger_eth_received;swap_ledger_tx_list;os_eth_spent;os_eth_gained;os_emeralds_bought;os_emeralds_sold
0x4f1115e0b720528b2392256c610c5dda0c52521c;0.0;0.0;1;1;10.0;10.0;0.0;10;10;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x5a365f423f99cc8a89b045e145caa318f0f2f3ac;4.7;0.0;1;0;4.7;0.0;4.7;4;0;4;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x12345fb2cb4b0b9997b3f36d793ba4fc5a250e3d;0.0;0.03586;1;1;3.0;3.0;0.0;3;3;0;0.0;3.0;0.03586;0.0;0.0;0.0;0x26c459a041496635454a93cca419ea9ce5be396181f29c6ea61519241c661832;0.0;0.0;0;0;
0xf371875a0045b1fd61c4b1166066dcdd3bde1bb6;0.0;0.0;2;2;12.0;12.0;0.0;10;10;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x249aa765beae36e20e4ea2911ff0367b8712d9de;0.0;0.3577;1;1;20.13;20.13;0.0;20;20;0;0.0;20.13;0.3577;0.0;0.0;0.0;0xd306e05f77dcda3882dfa950a11faeec5552806b4fd938dcb7556626c7948a81;0.0;0.0;0;0;
0x77772275ac16aef12eae0ac9958360044012d777;1.27;0.0;1;0;1.27;0.0;1.27;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xb008b260a1a5cb0d11609a71ca454859e106dcf6;1.2;0.0;5;2;4.2;3.0;1.2;4;3;1;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x06a1d26b6dbcdb60b66a685615c344d38246c995;0.0;0.0;1;1;10.0;10.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xa2bbd09ffe6a96ba31aae13118a5997a93034d80;0.99;0.0;1;0;0.99;0.0;0.99;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x14cc15076a910f4ec1e3a4a59f29b9502556168f;20.98;0.0;1;0;20.98;0.0;20.98;20;0;20;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xb6ab823c6f694ee942021ebb8783dff9dbef6ce0;0.0;0.0;2;1;5.0;5.0;0.0;2;2;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xe9f5f982b1bd414d7d2a51b1e806292c6d49745a;0.01;0.0;1;0;0.01;0.0;0.01;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x6c2973ba38fd8fab5316942481dfa4fc84647dd9;0.0;0.0;1;1;2.0;2.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x97aa9ab6e54031e866eceb33b214271f257aace6;0.0;0.0;1;1;1.23;1.23;0.0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x74bd8dd1be27b5929c5d8d32d0f90bb2ca09945a;0.0;0.05939;2;2;11.69;11.69;0.0;11;11;0;0.0;5.24;0.05939;0.0;0.0;0.0;0x436a890e47e1264333a70ab86ab162a09de0c2922ea8795f66baf3e5a5f6b17d;0.0;0.0;0;0;
0x3b69efcbecb6be7e9857c0bf5ecce892367b5549;0.0;0.0;2;2;70.0;70.0;0.0;10;10;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x907af9dee0405f92be69c87cf48adbfc97994b3a;0.98;-0.01809;1;0;0.98;0.0;0.98;0;0;0;0.9852;0.0;0.0;0.01809;0.0;0.0;0x17b6582693d104d6dd0d05e9b3309805dfc9a9a94782860aab16b52298de263f;0.0;0.0;0;0;
0xaf9727db19690208db9df2c9ebfd0ef891cd30c1;0.34;0.0;1;0;0.34;0.0;0.34;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xbfcd6930452acf433c18ea26a1379e287680955d;0.0;0.0;2;1;20.61;20.61;0.0;15;15;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xd7b16a6b6b7072154f6c15039afa7c2740013a5e;0.0;0.0;2;1;11.4;11.4;0.0;11;11;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x278e8d7fc6e198fb1b0e891d41a48313825e4eaa;0.0;0.0;9;10;147.0;147.0;0.01;125;125;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xb74a7a36c694f2f08b037b873dfc1755230caa0c;0.04;0.0;2;1;5.04;5.0;0.04;5;5;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xffddde68c50afdad4e6b3dce6dd260ac2a5a7864;1.94;0.0;2;0;1.94;0.0;1.94;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x0605afb3a02b0b069d0caee84461b12300996e2d;0.0;0.0;1;2;5.0;5.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xbdf59d84e393cc0728409144512d2cd62c3278f3;0.0;-0.00054;1;1;0.99;0.99;0.0;0;0;0;1.0;0.99;0.01768;0.01822;0.0;0.0;0x7f83c9e1ec3c211c452533cc8ebc27573fc32060d61bfbdb93de2c9c3d685ca4, 0xd61bdfe701e5e41d713bff41f35dfc3b3a94b21a12ccea88a163f3fc391de358;0.0;0.0;0;0;
0xa0553e045fda77dbbe741ffd5b58ae7cefdab380;0.0;0.0;1;1;25.0;25.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xc7cb79afbff9a5972e37cd7467ac58a8cf8fc8d6;0.0;0.0;1;1;22.81;22.81;0.0;22;22;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x1dde7b19fa3150a06e3307341e9b8cc5e95122d4;0.0;0.1384;1;1;13.61;13.61;0.0;13;13;0;0.0;13.61;0.1384;0.0;0.0;0.0;0x3f2f9bd621ca16f7de1a3b4ed6363a950de14016445b0c554b889775aef531c6;0.0;0.0;0;0;
0x1380ea721778ffd9dc158024dbdda2308b22da07;0.0;0.3511;2;1;19.57;19.57;0.0;19;19;0;0.0;19.57;0.3511;0.0;0.0;0.0;0x8c8d77f4f4cf0e31d44b80ccf37fd56f1001842e5b4c72d3a84a73e11e2a5567;0.0;0.0;0;0;
0x9b6ec018323c6b368db5412e032119f50be7e4cd;0.0;0.0;1;1;2.0;2.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x2ee5fa95e44afac32ec3b6f73122b1918d541d9d;0.06;0.2053;4;1;15.06;15.0;0.06;15;15;0;0.0;15.0;0.2053;0.0;0.0;0.0;0x1bb1688fc374a5fcd4a35b1b717c549c3cfd73d359049e144f4fded9e9f4c69e;0.0;0.0;0;0;
0xa6c8af91049dfeeecac026e53fe9f5b049c40b49;1.27;0.0;1;0;1.27;0.0;1.27;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x555f92a8bdbbdb39b83b45e463ae79a5d29a127d;0.0;0.0;1;1;2.0;2.0;0.0;2;2;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xed12310d5a37326e6506209c4838146950166760;0.0;0.0;5;5;44.44;44.44;0.0;19;19;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x309e7bc93cb97e2316dea7bc1da28add857abc77;0.0;0.0;1;1;1.0;1.0;0.0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xf395ec0dd6b0d0109659f199ba712e84c04cffff;0.0;0.0;2;2;11.21;11.21;0.0;10;10;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x36c3b70587a56ed5bad1eeffa6745274c521b067;0.0;0.0;1;1;2.0;2.0;0.0;2;2;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xd5009a069afaad2579cb15884426426aa7a21750;3.2;0.0;2;1;4.2;1.0;3.2;4;1;3;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x02b76f1851bb5f8fe5f86c64f7a94939ee4bc14f;1.0;0.0;1;0;1.0;0.0;1.0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
